direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"CARRERA LU120,",D: 07:30-22:00,43.268083,COSPEITO,-7.503028,Cospeito,1.769,1.429,1.819,,1.799,,,LUGO,CEPSA
"CARRETERA LU-530 KM. 56,80",L-S: 07:00-23:00; D: 08:00-23:00,43.121639,FONSAGRADA (A),-7.069833,Fonsagrada (A),1.769,1.399,1.829,,1.799,,1.929,LUGO,REPSOL
"CALLE RUA MIGUEL DE CERVANTES, 44",L-D: 07:00-23:00,43.576306,FOZ,-7.269056,Foz,1.769,,1.869,,1.809,,1.969,LUGO,CAMPSA
"RUA MIGUEL DE CERVANTES, 44",L-D: 07:00-23:00,43.571833,FOZ,-7.260111,Foz,1.729,,,,1.794,,,LUGO,CEPSA
"AVENIDA LUGO, 0",L: 07:00-23:00,43.029722,FRIOL,-7.78675,Friol,1.719,1.47,1.779,,1.759,,1.879,LUGO,REPSOL
"FINCA AS COUTADAS, S/N",L-S: 09:00-20:00,43.027917,FRIOL,-7.774083,Friol,1.629,,,,1.709,,,LUGO,AIRA
"PARQUE EMPRESARIAL DE GUITIRIZ, PARCELA, 55",L-D: 24H,43.184861,GUITIRIZ,-7.926889,Guitiriz,1.629,,,,1.679,,,LUGO,"PARDIÑAS, CENTRO LOGISTICO"
"CR N-6, 539,6",L-D: 07:00-23:00,43.179167,GUITIRIZ,-7.879917,Guitiriz,1.719,1.44,1.779,,1.769,,1.889,LUGO,REPSOL
"AUTOVIA A-6 PUNTO K, 538 MARGEN IZQUIERDO KM. 538",L-D: 24H,43.187167,GUITIRIZ,-7.92825,Guitiriz,1.749,,1.839,,1.769,,1.909,LUGO,GALP
AUTOVIA A-6 KM. 538,L-D: 24H,43.188222,GUITIRIZ,-7.929917,Guitiriz,1.749,,1.839,,1.769,,1.909,LUGO,GALP
CARRETERA GUNTIN CASCO URBANO KM. 18,L-D: 07:00-23:00,42.886444,GUNTIN DE PALLARES,-7.701028,Guntín,1.719,1.479,1.779,,1.769,,,LUGO,E.S. GUNTIN
"CTRA. LOUSADA  - A VEIGA km 0,100",L: 07:00-23:00,42.914667,VEIGA (A),-7.662222,Guntín,1.709,1.459,1.769,,1.769,,,LUGO,CEPSA
CARRETERA N-634 KM. 578,L-D: 07:00-23:00,43.490083,LOURENZA (CASCO URBANO),-7.284139,Lourenzá,1.754,1.369,1.814,,1.794,,1.954,LUGO,GALP
"AVENIDA BENIGNO RIVERA, S/N",L-V: 08:30-14:00 y 17:30-19:30,43.043889,LUGO,-7.569361,Lugo,1.599,,,,1.604,,,LUGO,LUGO SHELL EXPRESS
"CALLE SAN ROQUE, 90",L-D: 07:00-23:00,43.002583,LUGO,-7.549944,Lugo,1.759,,1.839,,1.809,,,LUGO,REPSOL
Avda. Los Deportes 12,L-D: 07:00-23:00,43.005694,LUGO,-7.572028,Lugo,1.689,,1.759,,1.729,,1.839,LUGO,GALP
"RUA FUT. RDA.MURALLA-VICEDO, 134",L-D: 07:00-23:00,43.012278,LUGO,-7.562778,Lugo,1.759,,1.819,,1.799,,1.919,LUGO,REPSOL
"AVENIDA BENIGNO REIVERA, 50",L-D: 07:00-23:00,43.039389,LUGO,-7.573278,Lugo,1.759,,1.839,,1.809,,1.939,LUGO,CAMPSA
"AVENIDA BENIGNO RIVERA, S/N",L-D: 24H,43.050806,LUGO,-7.565611,Lugo,1.759,,1.839,,1.809,,1.939,LUGO,REPSOL
"AVENIDA BENIGNO RIVERA, 15",L-D: 24H,43.038722,LUGO,-7.574139,Lugo,1.579,,,,1.604,,,LUGO,PLENOIL
"RUA INDUSTRIA (DA), 103",L-D: 24H,43.045111,LUGO,-7.563889,Lugo,1.579,,,,1.629,,,LUGO,MASMAR OIL
POLIGONO DEL CEAO (ACCESO AUTOVIA),L-D: 24H,43.052694,LUGO,-7.564028,Lugo,1.769,,1.839,,1.799,,1.919,LUGO,GASOLEOS CEAO
"AVENIDA LA CORUÑA, 310",L-D: 07:00-23:00,43.025667,LUGO,-7.567167,Lugo,1.769,,1.829,,1.809,,1.929,LUGO,REPSOL
"AVENIDA INFANTA ELENA, S/N",L-S: 08:00-22:15,43.036667,LUGO,-7.567861,Lugo,1.599,,,,1.624,,1.774,LUGO,EROSKI
"POLIGONO CEAO - RUA DAS CESTEIRAS PARCELA 9.2, S/N",L-D: 24H,43.045472,LUGO,-7.562139,Lugo,1.523,,,,,,,LUGO,NO EXISTE
"POLIGONO RUA MERCADURIAS, 218 PG. CEAO, 218",L-V: 07:00-21:00; S: 09:00-14:00,43.045472,LUGO,-7.560694,Lugo,1.703,,,,1.715,,,LUGO,CONFORT AUTO
"AVENIDA INFANTA ELENA, DUQUESA DE, 206",L-D: 24H,43.037583,LUGO,-7.565833,Lugo,1.579,,,,1.604,,,LUGO,PETROPRIX
"CARRETERA LU-530 PK 1,800 CASTELO DE ARRIBA KM. 1,8",L-D: 24H,43.010639,CAL DE PEON,-7.537583,Lugo,1.689,,,,1.729,,,LUGO,GALP
